name,speciality,address,phone
Ketan Pathak,opthamalogist,552 Sutteridge Avenue,+58 730 674 4030
Jayesh Shah,Cardiologist,879 Rowland Road,+7 210 414 0174
Vinod Shah,Physician,7587 Schmedeman Trail,+81 431 984 6743
Iqbal Shaikh,Dentist,1379 Dahle Road,+63 783 718 6843
Hamza Mansuri,surgeon,83901 Jenifer Hill,+46 657 526 1133
Robert,Cardiologist,81 Onsgard Way,+81 470 244 1542
Aafi Mansuri,Physician,651 Cascade Junction,+55 477 272 2508
Bharat Patel,orthopaedist,48 Duke Road,+47 629 625 8980
Dev patel,pediatrician,38 Debra Center,+356 950 512 3550
Purav Shah,neurologist,2 Merchant Road,+86 555 208 3089
